Feature,global,gfc_recovery,pre_demonetisation,recovery_india,Frequency
close_vs_200ma,✓,✓,✓,✓,3/3
log_return_1d,✓,✓,✓,✓,3/3
macd,✓,✓,✓,✓,3/3
macd_hist,✓,✓,✓,✓,3/3
macd_signal,✓,✓,✓,✓,3/3
momentum_10d,✓,✓,✓,✓,3/3
momentum_20d,✓,✓,✓,✓,3/3
momentum_5d,✓,✓,✓,✓,3/3
pb_ma_10,✓,✓,✓,✓,3/3
rsi_14,✓,✓,✓,✓,3/3
volatility_10d,✓,✓,✓,✓,3/3
volatility_20d,✓,✓,✓,✓,3/3
volatility_30d,✓,✓,✓,✓,3/3
bb_width,,✓,✓,,2/3
pb_ratio,✓,,✓,✓,2/3
india_vix,✓,✓,,,1/3
pb_percentile,,,,✓,1/3
Jaccard vs global,—,0.875,0.875,0.875,
